,sslpm1,sslpm2,slpm_head1,slpm_head2,slpm_body1,slpm_body2,slpm_leg1,slpm_leg2,slpm_distance1,slpm_distance2,slpm_clinch1,slpm_clinch2,slpm_ground1,slpm_ground2,ssapm1,ssapm2,sspercent1,sspercent2,kdpm1,kdpm2,sapm1,sapm2,sdpm1,sdpm2,tdpm1,tdpm2,tdam1,tdam2,tda1,tda2,ctr1,ctr2,sbpm1,sbpm2,revpm1,revpm2,Height1,Height2,Weight1,Weight2,Stance 1_Open,Stance 1_Orthodox,Stance 1_Southpaw,Stance 1_Switch,Stance 1_Sideways,Stance 2_Open,Stance 2_Orthodox,Stance 2_Southpaw,Stance 2_Switch,Stance 2_Sideways,Wins 1,Losses 1,Wins 2,Losses 2,kos1,subs1,decs1,lkos1,lsubs1,ldecs1,kos2,subs2,decs2,lkos2,lsubs2,ldecs2
268,5.08235294117647,2.8941176470588235,3.7411764705882353,1.7647058823529411,0.7058823529411765,1.1294117647058823,0.6352941176470588,0.0,2.8941176470588235,2.4,0.9176470588235294,0.49411764705882355,1.2705882352941176,0.0,11.435294117647059,6.705882352941177,44,43,0.07058823529411765,0.0,5.08235294117647,5.08235294117647,3.8117647058823527,6.352941176470588,0.49411764705882355,0.0,0.8470588235294118,0.07058823529411765,1.0,0.4166666666666667,413,11,0.07058823529411765,0.0,0.0,0.07058823529411765,66.0,63.0,125.0,125.0,0,0,1,0,0.0,0,1,0,0,0,6,4,4,5,0,0,1,2,1,1,0,1,0,0,2,0
267,7.349665924276169,4.409799554565701,5.3452115812917596,3.6080178173719375,0.9354120267260579,0.534521158129176,1.069042316258352,0.267260579064588,6.280623608017818,3.7416481069042318,1.069042316258352,0.40089086859688194,0.0,0.267260579064588,14.966592427616927,9.35412026726058,49,47,0.0,0.133630289532294,7.349665924276169,7.349665924276169,4.944320712694878,7.616926503340757,0.0,0.133630289532294,0.133630289532294,0.267260579064588,0.5,1.0,40,30,0.0,0.133630289532294,0.0,0.0,66.0,70.0,135.0,135.0,0,0,1,0,0.0,0,1,0,0,0,13,3,12,1,1,1,1,1,2,0,0,0,1,0,0,0
266,2.8,6.266666666666667,0.8,5.2,1.1333333333333333,0.5333333333333333,0.8666666666666667,0.5333333333333333,2.466666666666667,4.733333333333333,0.3333333333333333,0.6,0.0,0.9333333333333333,10.933333333333334,10.733333333333333,25,58,0.0,0.06666666666666667,2.8,2.8,4.466666666666667,8.133333333333333,0.0,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.5,1.0,10,241,0.0,0.0,0.0,0.06666666666666667,68.0,67.0,135.0,145.0,0,1,0,0,0.0,0,1,0,0,0,6,4,4,1,1,0,2,0,2,2,0,0,0,1,0,0
265,5.387323943661972,4.964788732394366,3.591549295774648,2.112676056338028,1.267605633802817,2.112676056338028,0.528169014084507,0.7394366197183099,2.852112676056338,4.647887323943662,0.6338028169014085,0.2112676056338028,1.9014084507042253,0.1056338028169014,10.56338028169014,8.767605633802816,51,56,0.0,0.0,5.387323943661972,5.387323943661972,3.8028169014084505,5.176056338028169,0.528169014084507,0.1056338028169014,0.7394366197183099,0.31690140845070425,0.6666666666666666,0.2857142857142857,206,33,0.1056338028169014,0.1056338028169014,0.0,0.1056338028169014,72.0,67.0,145.0,145.0,0,0,0,1,0.0,0,1,0,0,0,9,4,8,2,0,0,0,1,0,0,0,0,1,0,0,0
264,1.5333333333333334,4.666666666666667,0.9333333333333333,2.933333333333333,0.2,1.2,0.4,0.5333333333333333,1.2666666666666666,2.8,0.06666666666666667,0.9333333333333333,0.2,0.9333333333333333,3.533333333333333,6.333333333333333,43,73,0.0,0.0,1.5333333333333334,1.5333333333333334,1.6666666666666667,2.0,0.26666666666666666,0.06666666666666667,0.8666666666666667,0.2,0.6666666666666666,0.6923076923076923,258,256,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,68.0,72.0,145.0,145.0,0,0,0,1,0.0,0,0,0,1,0,9,2,13,5,1,0,0,0,0,1,0,0,0,0,0,1
263,0.38961038961038963,0.38961038961038963,0.38961038961038963,0.38961038961038963,0.0,0.0,0.0,0.0,0.0,0.38961038961038963,0.0,0.0,0.38961038961038963,0.0,1.5584415584415585,1.1688311688311688,25,33,0.0,0.0,0.38961038961038963,0.38961038961038963,0.7792207792207793,1.1688311688311688,0.38961038961038963,0.0,0.38961038961038963,0.0,0.0,0.0,78,67,0.38961038961038963,0.0,0.0,0.38961038961038963,76.0,72.0,205.0,205.0,0,1,0,0,0.0,0,1,0,0,0,33,16,12,4,5,2,1,2,1,3,0,0,6,2,2,0
262,11.772151898734178,6.075949367088608,4.556962025316456,3.7974683544303796,6.8354430379746836,1.8987341772151898,0.379746835443038,0.379746835443038,11.39240506329114,5.69620253164557,0.0,0.379746835443038,0.379746835443038,0.0,23.924050632911392,19.746835443037973,49,30,0.379746835443038,0.0,11.772151898734178,11.772151898734178,13.670886075949367,12.151898734177216,0.0,0.0,0.0,0.0,0.0,0.0,3,13,0.0,0.0,0.0,0.0,67.0,71.0,145.0,145.0,0,1,0,0,0.0,0,0,0,1,0,9,0,18,3,0,0,1,0,0,0,0,1,0,0,1,0
261,8.137931034482758,5.931034482758621,4.827586206896552,1.793103448275862,2.4827586206896552,1.6551724137931034,0.8275862068965517,2.4827586206896552,4.689655172413793,5.103448275862069,1.793103448275862,0.5517241379310345,1.6551724137931034,0.27586206896551724,16.0,14.758620689655173,50,40,0.0,0.0,8.137931034482758,8.137931034482758,8.827586206896552,7.862068965517241,0.41379310344827586,0.27586206896551724,0.5517241379310345,0.41379310344827586,0.3333333333333333,0.25,69,31,0.0,0.0,0.0,0.0,69.0,68.0,135.0,135.0,0,1,0,0,0.0,0,0,1,0,0,16,7,9,4,3,2,2,0,3,4,0,1,4,1,1,1
260,4.88,6.56,3.44,5.72,0.72,0.72,0.72,0.12,4.72,6.24,0.16,0.0,0.0,0.32,13.84,13.36,35,49,0.0,0.04,4.88,4.88,6.8,8.96,0.08,0.0,0.28,0.04,1.0,0.7142857142857143,28,347,0.0,0.04,0.0,0.04,73.0,72.0,185.0,185.0,0,1,0,0,0.0,0,0,1,0,0,21,5,15,4,3,3,2,2,1,0,0,2,3,0,0,2
259,9.268292682926829,5.365853658536586,4.878048780487805,3.902439024390244,2.4390243902439024,1.4634146341463414,1.951219512195122,0.0,8.292682926829269,5.365853658536586,0.0,0.0,0.975609756097561,0.0,25.365853658536587,12.682926829268293,36,42,0.24390243902439024,0.0,9.268292682926829,9.268292682926829,7.317073170731708,16.097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,68.0,67.0,155.0,155.0,0,0,1,0,0.0,0,1,0,0,0,21,9,16,5,1,2,2,2,0,2,1,0,0,0,1,0
